Date,Rev
2015-07-21,2359
2015-07-22,4973
2015-07-23,-1105
2015-07-24,1705
2015-07-25,12490
2015-07-26,4716
2015-07-27,3848
2015-07-28,1697
2015-07-29,7214
2015-07-30,819
2015-07-31,4767
2015-08-01,4040
2015-08-02,-1375
2015-08-03,1960
2015-08-04,1132
2015-08-05,2131
2015-08-06,1133
2015-08-07,-7786
2015-08-08,1600
2015-08-09,-2264
2015-08-10,1112
2015-08-11,8526
2015-08-12,3126
2015-08-13,3662
2015-08-14,1083
2015-08-15,3400
2015-08-16,2328
2015-08-17,3063
2015-08-18,4609
2015-08-19,867
2015-08-20,554
2015-08-21,-2982
2015-08-22,-3006
2015-08-23,2349
2015-08-24,11846
2015-08-25,-4365
2015-08-26,18606
2015-08-27,-2126
2015-08-28,-1877
2015-09-01,1386
2015-09-02,415
2015-09-03,998
2015-09-04,395
2015-09-05,-618
2015-09-06,718
2015-09-07,-2120
2015-09-08,-1677
2015-09-09,-1046
2015-09-10,1019
2015-09-11,2355
2015-09-12,675
2015-09-13,1224
2015-09-14,1601
2015-09-15,947
2015-09-16,835
2015-09-17,1492
2015-09-18,-1135
2015-09-19,5848
2015-09-20,-1330
2015-09-21,9992
2015-09-22,5992
2015-09-23,3559
2015-09-24,-1043
2015-09-25,1573
2015-09-26,-6913
2015-09-27,1050
2015-09-28,4015
2015-09-29,566
2015-09-30,2344
2015-10-01,1022
2015-10-02,7672
2015-10-03,5801
2015-10-04,1426
2015-10-05,1849
2015-10-06,881
2015-10-07,-1843
2015-10-08,1245
2015-10-09,-317
2015-10-10,2895
2015-10-11,1817
2015-10-12,1006
2015-10-13,827
2015-10-14,1479
2015-10-15,-3078
2015-10-16,13085
2015-10-17,1311
2015-10-18,-1633
2015-10-19,906
2015-10-20,1730
2015-10-21,-684
2015-10-22,1669
2015-10-23,-1472
2015-10-24,-1293
2015-10-25,743
2015-10-26,1505
2015-10-27,-4140
2015-10-28,-1327
2015-10-29,-1136
2015-10-30,1757
2015-11-01,1342
2015-11-02,2673
2015-11-03,744
2015-11-04,1745
2015-11-05,379
2015-11-06,-860
2015-11-07,1708
2015-11-08,-931
2015-11-09,-1007
2015-11-10,8738
2015-11-11,5134
2015-11-12,722
2015-11-13,-752
2015-11-14,729
2015-11-15,1023
2015-11-16,742
2015-11-17,3007
2015-11-18,2630
2015-11-19,19125
2015-11-20,-1400
2015-11-21,1074
2015-11-22,743
2015-11-23,1644
2015-11-24,886
2015-11-25,941
2015-11-26,445
2015-11-27,-3737
2015-11-28,5951
2015-11-29,3091
2015-11-30,-3411
2015-12-01,-2958
2015-12-02,3957
2015-12-03,-1517
2015-12-04,1054
2015-12-05,-1283
2015-12-06,1829
2015-12-07,3006
2015-12-08,656
2015-12-09,2046
2015-12-10,-4884
2015-12-11,-7734
2015-12-12,2024
2015-12-13,998
2015-12-14,871
2015-12-15,-2514
2015-12-16,-956
2015-12-17,-604
2015-12-18,2247
2015-12-19,1424
2015-12-20,-4245
2015-12-21,1602
2015-12-22,1479
2015-12-23,-3322
2015-12-24,1371
2015-12-25,-361
2015-12-26,1164
2015-12-27,11417
2015-12-28,3029
2015-12-29,1667
2015-12-30,625
2016-01-01,2980
2016-01-02,1054
2016-01-03,1178
2016-01-04,6567
2016-01-05,4813
2016-01-06,723
2016-01-07,2076
2016-01-08,1736
2016-01-09,9154
2016-01-10,1738
2016-01-11,15842
2016-01-12,-1850
2016-01-13,3120
2016-01-14,11129
2016-01-15,1967
2016-01-16,-744
2016-01-17,4505
2016-01-18,2948
2016-01-19,-2429
2016-01-20,509
2016-01-21,2392
2016-01-22,4905
2016-01-23,-660
2016-01-24,6374
2016-01-25,717
2016-01-26,2320
2016-01-27,3922
2016-01-28,-2797
2016-01-29,1899
2016-01-30,2705
2016-01-31,2144
2016-02-01,2782
2016-02-02,2903
2016-02-03,-1329
2016-02-04,867
2016-02-05,1133
2016-02-06,15748
2016-02-07,1410
2016-02-08,-9701
2016-02-09,2798
2016-02-10,1650
2016-02-11,5521
2016-02-12,364
2016-02-13,-1901
2016-02-14,-1417
2016-02-15,925
2016-02-16,4604
2016-02-17,6758
2016-02-18,4016
2016-02-19,3423
2016-02-20,4458
2016-02-21,855
2016-02-22,1498
2016-02-23,-1084
2016-02-24,3051
2016-02-25,15434
2016-02-26,-1931
2016-02-27,-3529
2016-02-28,1004
2016-02-29,-8707
2016-03-01,-1370
2016-03-02,5372
2016-03-03,903
2016-03-04,3597
2016-03-05,1712
2016-03-06,8638
2016-03-07,-7575
2016-03-08,5316
2016-03-09,-6082
2016-03-10,-1191
2016-03-11,2431
2016-03-12,1127
2016-03-13,868
2016-03-14,-2790
2016-03-15,-1799
2016-03-16,4611
2016-03-17,-1692
2016-03-18,-1221
2016-03-19,1547
2016-03-20,-2958
2016-03-21,1929
2016-03-22,-2839
2016-03-23,2775
2016-03-24,-984
2016-03-25,3939
2016-03-26,-1892
2016-03-27,1557
2016-03-28,1786
2016-03-29,12546
2016-03-30,4883
2016-04-01,2526
2016-04-02,3444
2016-04-03,-1449
2016-04-04,3906
2016-04-05,13285
2016-04-06,5108
2016-04-07,2630
2016-04-08,3034
2016-04-09,2179
2016-04-10,3339
2016-04-11,5750
2016-04-12,922
2016-04-13,7106
2016-04-14,559
2016-04-15,-1726
2016-04-16,-1458
2016-04-17,-3365
2016-04-18,1907
2016-04-19,6629
2016-04-20,2643
2016-04-21,-1798
2016-04-22,1922
2016-04-23,-3916
2016-04-24,6371
2016-04-25,9757
2016-04-26,1115
2016-04-27,-603
2016-04-28,-4006
2016-04-29,-1432
2016-04-30,-4295
2016-05-01,1238
2016-05-02,5250
2016-05-03,3093
2016-05-04,4233
2016-05-05,-2057
2016-05-06,-1553
2016-05-07,750
2016-05-08,3211
